Raw data											
4/15											
system	schedule	pp	ep	zero_stage	iter_time_mean	iter_time_stddev	peak_memory_gb_by_rank				
piper	interleaved-1f1b	8	2	3	0	1	0	3.589	0.013	4.005/2.971/2.971/2.971/2.971/2.971/2.971/4.509/4.005/2.971/2.971/2.971/2.971/2.971/2.971/4.509	
piper	1f1b	8	2	3	0	1	0	4.297	0.150	6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736/6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736	
piper	1f1b	8	2	3	0	1	1	4.120	0.157	6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736/6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736	
											
											
memory discrepancy											
system	schedule	pp	ep	zero_stage	iter_time_mean	iter_time_stddev	peak_memory_gb_by_rank				
piper	1f1b	4	1	na	1.632	0.008	18.557/16.237/16.237/18.557				
torchtitan	1f1b	4	1	na	1.501	0.011	23.95/22.52/17.42/16.53				
piper	1f1b	4	2	3	3.285	0.026	9.635/8.186/8.186/9.635/9.635/8.186/8.186/9.635				
torchtitan	1f1b	4	2	3	3.857	0.084	30.51/25.42/19.87/19.17				
											
											
Overlap ZeRO communication											
system	schedule	pp	ep	zero_stage	gradient_accumulation	ar_a2a_same_stream	overlap_zero	iter_time_mean			
piper	1f1b	8	2	3	0	1	0	4.297			
piper	1f1b	8	2	3	0	1	1	4.120			
											
											
											
Gradient accumulation											
system	schedule	pp	ep	zero_stage	gradient_accumulation	ar_a2a_same_stream	iter_time_mean				
piper	1f1b	8	2	2	0	1	3.136				
piper	1f1b	8	2	2	1	1	2.646				
piper	1f1b	8	2	3	0	1	4.297				
piper	1f1b	8	2	3	1	1	3.670				
											
											
Stream sharing											
system	schedule	pp	ep	zero_stage	gradient_accumulation	ar_a2a_same_stream	iter_time_mean				
piper	1f1b	8	2	2	0	0	3.177				
piper	1f1b	8	2	2	0	1	3.136				
piper	1f1b	8	2	3	0	0	4.231				
piper	1f1b	8	2	3	0	1	4.297				
											
											
Scalability											
pp	dp	torchtitan (zero3 + grad acc)	piper (zero3 + grad acc)	piper (zero2 + grad acc)	piper (grad acc)	% loss (vs zero3 or dp only)					
4	1	1.501			1.632	9					
